Rank,Release,Opening_Rev,Total_Gross,Non_opening_rev,Percent_of_Total,Theaters,Average_Theatre_Rev,Date,Distributor
236,Bohemian Rhapsody,51061119,216428042,165366923,23.60,4000,12765,02/11/2018,Twentieth Century Fox
237,Prometheus,51050101,126477084,75426983,40.40,3396,15032,08/06/2012,Twentieth Century Fox
238,Wanted,50927085,134508551,83581466,37.90,3175,16040,27/06/2008,Universal Pictures
239,Coco,50802605,209726015,158923410,24.20,3987,12742,22/11/2017,Walt Disney Studios Motion Pictures
240,Jurassic Park III,50771645,181171875,130400230,28,3434,14784,18/07/2001,Universal Pictures
241,The Village,50746142,114197520,63451378,44.40,3730,13604,30/07/2004,Walt Disney Studios Motion Pictures
242,Dunkirk,50513488,188045546,137532058,26.90,3720,13578,21/07/2017,Warner Bros.
243,2 Fast 2 Furious,50472480,127154901,76682421,39.70,3408,14810,06/06/2003,Universal Pictures
244,Jackass 3D,50353641,117229692,66876051,43,3081,16343,15/10/2010,Paramount Pictures
245,Mr. & Mrs. Smith,50342878,186336279,135993401,27,3424,14702,10/06/2005,Twentieth Century Fox
246,Rush Hour 3,50237000,140125968,89888968,35.80,3778,13297,10/08/2007,New Line Cinema
247,Independence Day,50228264,306169268,255941004,16.40,2882,17428,03/07/1996,Twentieth Century Fox
248,A Quiet Place,50203562,188024361,137820799,26.70,3508,14311,06/04/2018,Paramount Pictures
249,The Boss Baby,50198902,175003033,124804131,28.70,3773,13304,31/03/2017,Twentieth Century Fox
250,King Kong,50130145,218080025,167949880,23,3568,14049,14/12/2005,Universal Pictures
251,The Great Gatsby,50085185,144840419,94755234,34.60,3535,14168,10/05/2013,Warner Bros.
252,Scary Movie 3,49700000,110003217,60303217,45.20,3505,14179,24/10/2003,Dimension Films
253,Taken 2,49514769,139854287,90339518,35.40,3661,13524,05/10/2012,Twentieth Century Fox
254,How to Train Your Dragon 2,49451322,177002924,127551602,27.90,4253,11627,13/06/2014,Twentieth Century Fox
255,Wreck-It Ralph,49038712,189422889,140384177,25.90,3752,13070,02/11/2012,Walt Disney Studios Motion Pictures
256,Neighbors,49033915,150157400,101123485,32.70,3279,14953,09/05/2014,Universal Pictures
257,Alvin and the Chipmunks: The Squeakquel,48875415,219614612,170739197,22.30,3700,13209,23/12/2009,Twentieth Century Fox
258,Tangled,48767052,200821936,152054884,24.30,3603,13535,24/11/2010,Walt Disney Studios Motion Pictures
259,Batman Begins,48745440,205343774,156598334,23.70,3858,12634,15/06/2005,Warner Bros.
260,The Matrix Revolutions,48475154,139313948,90838794,34.80,3502,13842,05/11/2003,Warner Bros.
261,Hotel Transylvania 2,48464322,169700110,121235788,28.60,3754,12910,25/09/2015,Sony Pictures Releasing
262,The Fault in Our Stars,48002523,124872350,76869827,38.40,3173,15128,06/06/2014,Twentieth Century Fox
263,Godzilla: King of the Monsters,47776293,110500138,62723845,43.20,4108,11630,31/05/2019,Warner Bros.
264,Mission: Impossible III,47743273,134029801,86286528,35.60,4054,11776,05/05/2006,Paramount Pictures
265,Lara Croft: Tomb Raider,47735743,131168070,83432327,36.40,3308,14430,15/06/2001,Paramount Pictures
266,Kung Fu Panda 2,47656302,165249063,117592761,28.80,3925,12141,26/05/2011,DreamWorks
267,The Longest Yard,47606480,158119460,110512980,30.10,3634,13100,27/05/2005,Paramount Pictures
268,Shark Tale,47604606,160861908,113257302,29.60,4016,11853,01/10/2004,DreamWorks Distribution
269,Interstellar,47510360,188020017,140509657,25.30,3561,13341,05/11/2014,Paramount Pictures
270,Madagascar,47224594,193595521,146370927,24.40,4131,11431,27/05/2005,DreamWorks Distribution
271,The Lord of the Rings: The Fellowship of the Ring,47211490,313364114,266152624,15.10,3359,14055,19/12/2001,New Line Cinema
272,Die Another Day,47072040,160942139,113870099,29.20,3314,14203,22/11/2002,Metro-Goldwyn-Mayer (MGM)
273,Talladega Nights: The Ballad of Ricky Bobby,47042215,148213377,101171162,31.70,3803,12369,04/08/2006,Sony Pictures Releasing
274,Ratatouille,47027395,206445654,159418259,22.80,3940,11935,29/06/2007,Walt Disney Studios Motion Pictures
275,Jurassic Park,47026828,357067947,310041119,13.20,2404,19561,11/06/1993,Universal Pictures
276,Troy,46865412,133378256,86512844,35.10,3411,13739,14/05/2004,Warner Bros.
277,The Secret Life of Pets 2,46652680,158874395,112221715,29.40,4561,10228,07/06/2019,Universal Pictures
278,Pirates of the Caribbean: The Curse of the Black Pearl,46630690,305413918,258783228,15.30,3269,14264,09/07/2003,Walt Disney Studios Motion Pictures
279,Ice Age: Continental Drift,46629259,161321843,114692584,28.90,3881,12014,13/07/2012,Twentieth Century Fox
280,Fifty Shades Darker,46607250,114581250,67974000,40.70,3710,12562,10/02/2017,Universal Pictures
281,Trolls,46581142,153707064,107125922,30.30,4060,11473,04/11/2016,Twentieth Century Fox
282,Bad Boys II,46522560,138608444,92085884,33.60,3186,14602,18/07/2003,Sony Pictures Releasing
283,Ice Age,46312454,176387405,130074951,26.30,3316,13966,15/03/2002,Twentieth Century Fox
284,Angels & Demons,46204168,133375846,87171678,34.60,3527,13100,15/05/2009,Sony Pictures Releasing
285,Meet the Fockers,46120980,279261160,233140180,16.50,3518,13110,22/12/2004,Universal Pictures
286,Ghostbusters,46018755,128350574,82331819,35.80,3963,11612,15/07/2016,Sony Pictures Releasing
287,Megamind,46016833,148415853,102399020,31,3944,11667,05/11/2010,DreamWorks
288,Dumbo,45990748,114766307,68775559,40.10,4259,10798,29/03/2019,Walt Disney Studios Motion Pictures
289,Batman Returns,45687711,162831698,117143987,28.10,2644,17279,19/06/1992,Warner Bros.
290,Mission: Impossible,45436830,180981856,135545026,25.10,3012,15085,22/05/1996,Paramount Pictures
291,Mad Max: Fury Road,45428128,153636354,108208226,29.60,3702,12271,15/05/2015,Warner Bros.
292,The Meg,45402195,145443742,100041547,31.20,4118,11025,10/08/2018,Warner Bros.
293,Ghost Rider,45388836,115802596,70413760,39.20,3619,12541,16/02/2007,Sony Pictures Releasing
294,American Pie 2,45117985,145103595,99985610,31.10,3063,14729,10/08/2001,Universal Pictures
295,300: Rise of an Empire,45038460,106580051,61541591,42.30,3470,12979,07/03/2014,Warner Bros.
296,Horton Hears a Who!,45012998,154529439,109516441,29.10,3954,11384,14/03/2008,Twentieth Century Fox
297,The Hangover,44979319,277322503,232343184,16.20,3269,13759,05/06/2009,Warner Bros.
298,National Treasure: Book of Secrets,44783772,219964115,175180343,20.40,3832,11686,21/12/2007,Walt Disney Studios Motion Pictures
299,Transformers: The Last Knight,44680073,130168683,85488610,34.30,4069,10980,21/06/2017,Paramount Pictures
300,xXx,44506103,142109382,97603279,31.30,3374,13190,09/08/2002,Revolution Studios
301,Alvin and the Chipmunks,44307417,217326974,173019557,20.40,3475,12750,14/12/2007,Twentieth Century Fox
302,The Peanuts Movie,44213073,130178411,85965338,34,3897,11345,06/11/2015,Twentieth Century Fox
303,Hotel Transylvania 3: Summer Vacation,44076225,167510016,123433791,26.30,4267,10329,13/07/2018,Sony Pictures Releasing
304,Godzilla,44047541,136314294,92266753,32.30,3310,13307,20/05/1998,Sony Pictures Releasing
305,Terminator 3: Rise of the Machines,44041440,150371112,106329672,29.30,3504,12568,02/07/2003,Warner Bros.
306,TRON: Legacy,44026211,172062763,128036552,25.60,3451,12757,17/12/2010,Walt Disney Studios Motion Pictures
307,Lucy,43899340,126663600,82764260,34.70,3173,13835,25/07/2014,Universal Pictures
308,How to Train Your Dragon,43732319,217581231,173848912,20.10,4055,10784,26/03/2010,DreamWorks
309,Noah,43720472,101200044,57479572,43.20,3567,12256,28/03/2014,Paramount Pictures
310,The Croods,43639736,187168425,143528689,23.30,4046,10785,22/03/2013,Twentieth Century Fox
311,American Gangster,43565135,130164645,86599510,33.50,3054,14264,02/11/2007,Universal Pictures
312,The Mummy,43369635,155385488,112015853,27.90,3210,13510,07/05/1999,Universal Pictures
313,Hitch,43142214,179495555,136353341,24,3575,12067,11/02/2005,Sony Pictures Releasing
314,A Star Is Born,42908051,215288866,172380815,19.90,3686,11640,05/10/2018,Warner Bros.
315,Batman & Robin,42872605,107325195,64452590,40,2934,14612,20/06/1997,Warner Bros.
316,Terminator Salvation,42558390,125322469,82764079,34,3530,12056,21/05/2009,Warner Bros.
317,Hotel Transylvania,42522194,148313048,105790854,28.70,3349,12696,28/09/2012,Sony Pictures Releasing
318,Nutty Professor II: The Klumps,42518830,123309890,80791060,34.50,3242,13115,28/07/2000,Universal Pictures
319,Shrek,42347760,267665011,225317251,15.80,3587,11805,16/05/2001,DreamWorks Distribution
320,Scary Movie,42346669,157019771,114673102,27,2912,14542,07/07/2000,Miramax
321,Anger Management,42220847,135645823,93424976,31.10,3551,11889,11/04/2003,Revolution Studios
322,High School Musical 3,42030184,90559416,48529232,46.40,3623,11600,24/10/2008,Walt Disney Studios Motion Pictures
323,The Conjuring,41855326,137400141,95544815,30.50,2903,14417,19/07/2013,Warner Bros.
324,Ready Player One,41764050,137690172,95926122,30.30,4234,9863,29/03/2018,Warner Bros.
325,Ice Age: Dawn of the Dinosaurs,41690382,196573705,154883323,21.20,4099,10170,01/07/2009,Twentieth Century Fox
326,The Hangover Part III,41671198,112200072,70528874,37.10,3555,11721,23/05/2013,Warner Bros.
327,Ocean's Eight,41607378,140218711,98611333,29.70,4145,10037,08/06/2018,Warner Bros.
328,Big Daddy,41536370,163479795,121943425,25.40,3027,13721,25/06/1999,Sony Pictures Releasing
329,Happy Feet,41533432,198000317,156466885,21,3804,10918,17/11/2006,Warner Bros.
330,Ride Along,41516170,134938200,93422030,30.80,2663,15590,17/01/2014,Universal Pictures
331,Grown Ups 2,41508572,133668525,92159953,31,3491,11890,12/07/2013,Sony Pictures Releasing
332,The Perfect Storm,41325042,182618434,141293392,22.60,3407,12129,30/06/2000,Warner Bros.
333,Kung Fu Panda 3,41282042,143528619,102246577,28.80,3955,10437,29/01/2016,Twentieth Century Fox
334,The Vow,41202458,125014030,83811572,33,2958,13929,10/02/2012,Screen Gems
335,Deep Impact,41152375,140464664,99312289,29.30,3156,13039,08/05/1998,Paramount Pictures
336,Once Upon a Time... in Hollywood,41082018,142502728,101420710,28.80,3659,11227,26/07/2019,Sony Pictures Releasing
337,Shutter Island,41062440,128012934,86950494,32.10,2991,13728,19/02/2010,Paramount Pictures
338,Twister,41059405,241721524,200662119,17,2414,17008,10/05/1996,Warner Bros.
339,Independence Day: Resurgence,41039944,103144286,62104342,39.80,4130,9937,24/06/2016,Twentieth Century Fox
340,Madea Goes to Jail,41030947,90508336,49477389,45.30,2032,20192,20/02/2009,Lionsgate
341,Casino Royale,40833156,167445960,126612804,24.40,3434,11890,17/11/2006,Sony Pictures Releasing
342,Paranormal Activity 2,40678424,84752907,44074483,48,3216,12648,22/10/2010,Paramount Pictures
343,Friday the 13th,40570365,65002019,24431654,62.40,3105,13066,13/02/2009,Warner Bros.
344,Grown Ups,40506562,162001186,121494624,25,3534,11461,25/06/2010,Sony Pictures Releasing
345,G.I. Joe: Retaliation,40501814,122523060,82021246,33.10,3719,10890,28/03/2013,Paramount Pictures
346,Batman,40489746,251188924,210699178,16.10,2194,18454,23/06/1989,Warner Bros.
347,The Mummy: Tomb of the Dragon Emperor,40457770,102491776,62034006,39.50,3760,10760,01/08/2008,Universal Pictures
348,The Conjuring 2,40406314,102470008,62063694,39.40,3343,12086,10/06/2016,Warner Bros.
349,Glass,40328920,111048468,70719548,36.30,3841,10499,18/01/2019,Universal Pictures
350,The Last Airbender,40325019,131772187,91447168,30.60,3169,12724,01/07/2010,Paramount Pictures
351,Daredevil,40310419,102543518,62233099,39.30,3471,11613,14/02/2003,Twentieth Century Fox
352,Power Rangers,40300288,85364450,45064162,47.20,3693,10912,24/03/2017,Lionsgate
353,Insidious: Chapter 2,40272103,83586447,43314344,48.20,3049,13208,13/09/2013,FilmDistrict
354,Scary Movie 4,40222875,90710620,50487745,44.30,3602,11166,14/04/2006,-
355,Safe House,40172720,126373434,86200714,31.80,3119,12880,10/02/2012,Universal Pictures
356,Charlie's Angels,40128550,125305545,85176995,32,3037,13213,03/11/2000,Sony Pictures Releasing
357,The Fast and the Furious,40089015,144533925,104444910,27.70,2628,15254,22/06/2001,Universal Pictures
358,Cloverfield,40058229,80048433,39990204,50,3411,11743,18/01/2008,Paramount Pictures
359,Chicken Little,40049778,135386665,95336887,29.60,3654,10960,04/11/2005,Walt Disney Studios Motion Pictures
360,Click,40011365,137355633,97344268,29.10,3749,10672,23/06/2006,Revolution Studios
361,Split,40010975,138291365,98280390,28.90,3038,13170,20/01/2017,Universal Pictures
362,50 First Dates,39852237,120908074,81055837,33,3591,11097,13/02/2004,Sony Pictures Releasing
363,Wild Hogs,39699023,168273550,128574527,23.60,3287,12077,02/03/2007,Walt Disney Studios Motion Pictures
364,Sherlock Holmes: A Game of Shadows,39637079,186848418,147211339,21.20,3703,10704,16/12/2011,Warner Bros.
365,The Waterboy,39414071,161491646,122077575,24.40,2664,14795,06/11/1998,Walt Disney Studios Motion Pictures
366,Rio 2,39327869,131538435,92210566,29.90,3948,9961,11/04/2014,Twentieth Century Fox
367,Rio,39225962,143619809,104393847,27.30,3826,10252,15/04/2011,Twentieth Century Fox
368,Taken 3,39201657,89256424,50054767,43.90,3594,10907,09/01/2015,Twentieth Century Fox
369,The Break-Up,39172785,118703275,79530490,33,3070,12759,02/06/2006,Universal Pictures
370,The Good Dinosaur,39155217,123087120,83931903,31.80,3749,10444,25/11/2015,Walt Disney Studios Motion Pictures
371,Ocean's Twelve,39153380,125544280,86390900,31.20,3290,11900,10/12/2004,Warner Bros.
372,The Grudge,39128715,110359362,71230647,35.50,3245,12058,22/10/2004,Sony Pictures Releasing
373,Magic Mike,39127170,113721571,74594401,34.40,2930,13353,29/06/2012,Warner Bros.
374,Onward,39119861,41629376,2509515,94,4310,9076,06/03/2020,Walt Disney Studios Motion Pictures
375,The Heat,39115043,159582188,120467145,24.50,3181,12296,28/06/2013,Twentieth Century Fox
376,Kingsman: The Golden Circle,39023010,100229647,61206637,38.90,4003,9748,22/09/2017,Twentieth Century Fox
377,Dinosaur,38854851,137748063,98893212,28.20,3257,11929,19/05/2000,Walt Disney Studios Motion Pictures
378,Daddy's Home,38740203,150357137,111616934,25.80,3271,11843,25/12/2015,Paramount Pictures
379,Get Smart,38683480,130319208,91635728,29.70,3911,9890,20/06/2008,Warner Bros.
380,Fifty Shades Freed,38560195,100407760,61847565,38.40,3768,10233,09/02/2018,Universal Pictures
381,You Don't Mess with the Zohan,38531374,100018837,61487463,38.50,3462,11129,06/06/2008,Sony Pictures Releasing
382,The Legend of Tarzan,38527856,126643061,88115205,30.40,3561,10819,01/07/2016,Warner Bros.
383,Over the Hedge,38457003,155019340,116562337,24.80,4059,9474,19/05/2006,DreamWorks
384,The Cat in the Hat,38329160,101149285,62820125,37.90,3464,11065,21/11/2003,Universal Pictures
385,Alien vs. Predator,38291056,80282231,41991175,47.70,3395,11278,13/08/2004,Twentieth Century Fox
386,The Angry Birds Movie,38155177,107509366,69354189,35.50,3932,9703,20/05/2016,Sony Pictures Releasing
387,The Bourne Legacy,38142825,113203870,75061045,33.70,3745,10185,10/08/2012,Universal Pictures
388,Ocean's Eleven,38107822,183417150,145309328,20.80,3075,12392,07/12/2001,Warner Bros.
389,Rango,38079323,123477607,85398284,30.80,3917,9721,04/03/2011,Paramount Pictures
390,Inglourious Basterds,38054676,120540719,82486043,31.60,3165,12023,21/08/2009,The Weinstein Company
391,Bee Movie,38021044,126631277,88610233,30,3928,9679,02/11/2007,DreamWorks
392,Ace Ventura: When Nature Calls,37804076,108385533,70581457,34.90,2652,14254,10/11/1995,Warner Bros.
393,Charlie's Angels: Full Throttle,37634221,100830111,63195890,37.30,3459,10880,27/06/2003,Sony Pictures Releasing
394,Hop,37543710,108085305,70541595,34.70,3579,10490,01/04/2011,Universal Pictures
395,Gone Girl,37513109,167767189,130254080,22.40,3014,12446,03/10/2014,Twentieth Century Fox
396,District 9,37354308,115646235,78291927,32.30,3049,12251,14/08/2009,TriStar Pictures
397,Pacific Rim,37285325,101802906,64517581,36.60,3275,11384,12/07/2013,Warner Bros.
398,Mr. Deeds,37162787,126293452,89130665,29.40,3231,11501,28/06/2002,Sony Pictures Releasing
399,Annabelle,37134255,84273813,47139558,44.10,3185,11659,03/10/2014,Warner Bros.
400,Air Force One,37132505,172956409,135823904,21.50,2919,12720,25/07/1997,Sony Pictures Releasing
401,S.W.A.T.,37062535,116934650,79872115,31.70,3202,11574,08/08/2003,Sony Pictures Releasing
402,Oblivion,37054485,89107235,52052750,41.60,3783,9795,19/04/2013,Universal Pictures
403,Maleficent: Mistress of Evil,36948713,113929605,76980892,32.40,3790,9749,18/10/2019,Walt Disney Studios Motion Pictures
404,Red Dragon,36540945,93149898,56608953,39.20,3357,10885,04/10/2002,Universal Pictures
405,Cowboys & Aliens,36431290,100240551,63809261,36.30,3750,9715,29/07/2011,Universal Pictures
406,Freddy vs. Jason,36400000,82622655,46222655,44.10,3014,12076,15/08/2003,New Line Cinema
407,Interview with the Vampire: The Vampire Chronicles,36389705,105264608,68874903,34.60,2604,13974,11/11/1994,Warner Bros.
408,Marley & Me,36357586,143153751,106796165,25.40,3480,10447,25/12/2008,Twentieth Century Fox
409,21 Jump Street,36302612,138447667,102145055,26.20,3121,11631,16/03/2012,Sony Pictures Releasing
410,Kingsman: The Secret Service,36206331,128261724,92055393,28.20,3204,11300,13/02/2015,Twentieth Century Fox
411,Jumanji: Welcome to the Jungle,36169328,404515480,368346152,8.90,3765,9606,20/12/2017,Sony Pictures Releasing
412,Alien: Covenant,36160621,74262031,38101410,48.70,3761,9614,19/05/2017,Twentieth Century Fox
413,Ocean's Thirteen,36133403,117154724,81021321,30.80,3565,10135,08/06/2007,Warner Bros.
414,Dumb and Dumber To,36111775,86208010,50096235,41.90,3154,11449,14/11/2014,Universal Pictures
415,Armageddon,36089972,201578182,165488210,17.90,3127,11541,01/07/1998,Walt Disney Studios Motion Pictures
416,The Scorpion King,36075875,91047077,54971202,39.60,3444,10474,19/04/2002,Universal Pictures
417,Robin Hood,36063385,105269730,69206345,34.30,3503,10295,14/05/2010,Universal Pictures
418,Robots,36045301,128200012,92154711,28.10,3776,9545,11/03/2005,Twentieth Century Fox
419,The Equalizer 2,36011640,102084362,66072722,35.30,3388,10629,20/07/2018,Sony Pictures Releasing
420,Salt,36011243,118311368,82300125,30.40,3612,9969,23/07/2010,Sony Pictures Releasing
421,Star Wars: Episode IV - A New Hope1997 Special Edition,35906661,138257865,102351204,26,2104,17065,31/01/1997,Twentieth Century Fox
422,"10,000 BC",35867488,94784201,58916713,37.80,3410,10518,07/03/2008,Warner Bros.
423,Rampage,35753093,101028233,65275140,35.40,4101,8718,13/04/2018,Warner Bros.
424,Minority Report,35677125,132072926,96395801,27,3001,11888,21/06/2002,Twentieth Century Fox
425,Sweet Home Alabama,35648740,127223418,91574678,28,3293,10825,27/09/2002,Walt Disney Studios Motion Pictures
426,The Smurfs,35611637,142614158,107002521,25,3395,10489,29/07/2011,Sony Pictures Releasing
427,Creed II,35574710,115715889,80141179,30.70,3441,10338,21/11/2018,Metro-Goldwyn-Mayer (MGM)
428,Battle Los Angeles,35573187,83552429,47979242,42.60,3417,10410,11/03/2011,Sony Pictures Releasing
429,The Other Guys,35543162,119219978,83676816,29.80,3651,9735,06/08/2010,Sony Pictures Releasing
430,Central Intelligence,35535250,127440871,91905621,27.90,3508,10129,17/06/2016,Warner Bros.
431,The World Is Not Enough,35519007,126943684,91424677,28,3163,11229,19/11/1999,Metro-Goldwyn-Mayer (MGM)
432,Super 8,35451168,127004179,91553011,27.90,3379,10491,10/06/2011,Paramount Pictures
433,Spider-Man: Into the Spider-Verse,35363376,190241310,154877934,18.60,3813,9274,14/12/2018,Sony Pictures Releasing
434,Teenage Mutant Ninja Turtles: Out of the Shadows,35316382,82051601,46735219,43,4071,8675,03/06/2016,Paramount Pictures
435,Lilo & Stitch,35260212,145794338,110534126,24.20,3191,11049,21/06/2002,Walt Disney Studios Motion Pictures
436,Sing,35258145,270395425,235137280,13,4022,8766,21/12/2016,Universal Pictures
437,Ride Along 2,35243095,91221830,55978735,38.60,3175,11100,15/01/2016,Universal Pictures
438,National Treasure,35142554,173008894,137866340,20.30,3017,11648,19/11/2004,Walt Disney Studios Motion Pictures
439,The Ring Two,35065237,76231249,41166012,46,3332,10523,18/03/2005,DreamWorks Distribution
440,Runaway Bride,35055556,152257509,117201953,23,3158,11100,30/07/1999,Paramount Pictures
441,Sully,35028301,125070033,90041732,28,3525,9937,09/09/2016,Warner Bros.
442,Annabelle: Creation,35006404,102092201,67085797,34.30,3502,9996,11/08/2017,Warner Bros.
443,Mamma Mia! Here We Go Again,34952180,120634935,85682755,29,3317,10537,20/07/2018,Universal Pictures
444,The Expendables,34825135,103068524,68243389,33.80,3270,10649,13/08/2010,Lionsgate
445,Gladiator,34819017,187705427,152886410,18.60,2938,11851,05/05/2000,DreamWorks Distribution
446,Scream 3,34713342,89143175,54429833,38.90,3467,10012,04/02/2000,Dimension Films
447,The Magnificent Seven,34703397,93432655,58729258,37.10,3674,9445,23/09/2016,Sony Pictures Releasing
448,Identity Thief,34551025,134506920,99955895,25.70,3141,11000,08/02/2013,Universal Pictures
449,Hellboy II: The Golden Army,34539115,75986503,41447388,45.40,3204,10779,11/07/2008,Universal Pictures
450,Enchanted,34440317,127807262,93366945,27,3730,9233,21/11/2007,Walt Disney Studios Motion Pictures
451,Couples Retreat,34286740,109204945,74918205,31.40,3000,11428,09/10/2009,Universal Pictures
452,Sausage Party,34263534,97685686,63422152,35.10,3103,11042,12/08/2016,Sony Pictures Releasing
453,I Now Pronounce You Chuck & Larry,34233750,120059556,85825806,28.50,3495,9795,20/07/2007,Universal Pictures
454,Tarzan,34221968,171091819,136869851,20,3005,11388,16/06/1999,Walt Disney Studios Motion Pictures
455,Ransom,34216088,136492681,102276593,25.10,2676,12786,08/11/1996,Walt Disney Studios Motion Pictures
456,Norbit,34195434,95673607,61478173,35.70,3136,10904,09/02/2007,DreamWorks
457,The Equalizer,34137828,101530738,67392910,33.60,3236,10549,26/09/2014,Sony Pictures Releasing
458,The Blind Side,34119372,255959475,221840103,13.30,3110,10970,20/11/2009,Warner Bros.
459,The Lego Movie 2: The Second Part,34115335,105806508,71691173,32.20,4303,7928,08/02/2019,Warner Bros.
460,Puss in Boots,34077439,149260504,115183065,22.80,3952,8622,28/10/2011,DreamWorks
461,The Purge,34058360,64473115,30414755,52.80,2536,13429,07/06/2013,Universal Pictures
462,Lethal Weapon 4,34048124,130444603,96396479,26.10,3117,10923,10/07/1998,Warner Bros.
463,Cloudy with a Chance of Meatballs 2,34017930,119793567,85775637,28.40,4001,8502,27/09/2013,Sony Pictures Releasing
464,Get Hard,33803253,90411453,56608200,37.40,3175,10646,27/03/2015,Warner Bros.
465,The Devil Inside,33732515,53261944,19529429,63.30,2285,14762,06/01/2012,Paramount Pictures
466,Think Like a Man,33636303,91547205,57910902,36.70,2015,16692,20/04/2012,Screen Gems
467,The Proposal,33627598,163958031,130330433,20.50,3056,11003,19/06/2009,Walt Disney Studios Motion Pictures
468,What Women Want,33614543,182811707,149197164,18.40,3012,11160,15/12/2000,Paramount Pictures
469,Saw III,33610391,80238724,46628333,41.90,3167,10612,27/10/2006,Lionsgate
470,Epic,33531068,107518682,73987614,31.20,3882,8637,24/05/2013,Twentieth Century Fox
471,The Green Hornet,33526876,98780042,65253166,33.90,3584,9354,14/01/2011,Sony Pictures Releasing
472,Ted 2,33507870,81476385,47968515,41.10,3442,9735,26/06/2015,Universal Pictures
473,101 Dalmatians,33504025,136189294,102685269,24.60,2794,11991,27/11/1996,Walt Disney Studios Motion Pictures
474,Wrath of the Titans,33457188,83670083,50212895,40,3545,9437,30/03/2012,Warner Bros.
475,The Haunting,33435140,91411151,57976011,36.60,2808,11907,23/07/1999,DreamWorks Distribution
476,Get Out,33377060,176040665,142663605,19,2781,12001,24/02/2017,Universal Pictures
477,Live Free or Die Hard,33369559,134529403,101159844,24.80,3408,9791,27/06/2007,Twentieth Century Fox
478,American Wedding,33369440,104565114,71195674,31.90,3172,10520,01/08/2003,Universal Pictures
479,Lethal Weapon 3,33243086,144731527,111488441,23,2510,13244,15/05/1992,Warner Bros.
480,Hustlers,33181361,104963598,71782237,31.60,3250,10209,13/09/2019,STX Entertainment
481,A Wrinkle in Time,33123609,100478608,67354999,33,3980,8322,09/03/2018,Walt Disney Studios Motion Pictures
482,Superbad,33052411,121463226,88410815,27.20,2948,11211,17/08/2007,Sony Pictures Releasing
483,Tomorrowland,33028165,93436322,60408157,35.40,3972,8315,22/05/2015,Walt Disney Studios Motion Pictures
484,Blades of Glory,33014202,118594548,85580346,27.80,3372,9790,30/03/2007,DreamWorks
485,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,33010017,82771910,49761893,39.90,4236,7792,07/02/2020,Warner Bros.
486,Rush Hour,33001803,141186864,108185061,23.40,2638,12510,18/09/1998,New Line Cinema
487,Scream 2,32926342,101363301,68436959,32.50,2663,12364,12/12/1997,Dimension Films
488,A Nightmare on Elm Street,32902299,63075011,30172712,52.20,3332,9874,30/04/2010,Warner Bros.
