Rank,Release,Opening_Rev,Total_Gross,Non_opening_rev,Percent_of_Total,Theaters,Average_Theatre_Rev,Date,Distributor
489,X-Men: Dark Phoenix,32828348,65845974,33017626,49.90,3721,8822,07/06/2019,Twentieth Century Fox
490,The Book of Eli,32789494,94835059,62045565,34.60,3111,10539,15/01/2010,Warner Bros.
491,Blade Runner 2049,32753122,92054159,59301037,35.60,4058,8071,06/10/2017,Warner Bros.
492,Where the Wild Things Are,32695407,77233467,44538060,42.30,3735,8753,16/10/2009,Warner Bros.
493,Due Date,32689406,100539043,67849637,32.50,3355,9743,05/11/2010,Warner Bros.
494,Blade II,32528016,82348319,49820303,39.50,2707,12016,22/03/2002,New Line Cinema
495,The Maze Runner,32512804,102427862,69915058,31.70,3604,9021,19/09/2014,Twentieth Century Fox
496,Spy Kids 3-D: Game Over,32500000,111761982,79261982,29.10,3344,9718,25/07/2003,Dimension Films
497,Hannah Montana: The Movie,32324487,79576189,47251702,40.60,3118,10367,10/04/2009,Walt Disney Studios Motion Pictures
498,Mr. Peabody & Sherman,32207057,111506430,79299373,28.90,3934,8186,07/03/2014,Twentieth Century Fox
499,Immortals,32206425,83504017,51297592,38.60,3112,10349,11/11/2011,Relativity Media
500,Wedding Crashers,32200000,209255921,177055921,15.40,2925,11008,15/07/2005,New Line Cinema
501,Elf,32100000,173398518,141298518,18.50,3337,9619,07/11/2003,New Line Cinema
502,Bad Grandpa,32055177,102003019,69947842,31.40,3336,9608,25/10/2013,Paramount Pictures
503,The SpongeBob SquarePants Movie,32018216,85417988,53399772,37.50,3212,9968,19/11/2004,Paramount Pictures
504,Paul Blart: Mall Cop,31832636,146336178,114503542,21.80,3144,10124,16/01/2009,Sony Pictures Releasing
505,Terminator 2: Judgment Day,31765506,204843345,173077839,15.50,2274,13969,03/07/1991,TriStar Pictures
506,Saw IV,31756764,63300095,31543331,50.20,3183,9976,26/10/2007,Lionsgate
507,Saw II,31725652,87039965,55314313,36.40,2949,10758,28/10/2005,Lionsgate
508,G-Force,31706934,119436770,87729836,26.60,3697,8576,24/07/2009,Walt Disney Studios Motion Pictures
509,The Mummy,31688375,80227895,48539520,39.50,4035,7853,09/06/2017,Universal Pictures
510,Bad Teacher,31603106,100292856,68689750,31.50,3049,10365,24/06/2011,Sony Pictures Releasing
511,The Truman Show,31542121,125618201,94076080,25.10,2315,13625,05/06/1998,Paramount Pictures
512,The Purge: Election Year,31515110,79213375,47698265,39.80,2796,11271,01/07/2016,Universal Pictures
513,The Wolfman,31479235,61979680,30500445,50.80,3222,9770,12/02/2010,Universal Pictures
514,Ford v Ferrari,31474958,117594481,86119523,26.80,3528,8921,15/11/2019,Twentieth Century Fox
515,Liar Liar,31423025,181410615,149987590,17.30,2845,11045,21/03/1997,Universal Pictures
516,Percy Jackson & the Olympians: The Lightning Thief,31236067,88768303,57532236,35.20,3356,9307,12/02/2010,Twentieth Century Fox
517,Girls Trip,31201920,115171585,83969665,27.10,2591,12042,21/07/2017,Universal Pictures
518,Evan Almighty,31192615,100462298,69269683,31,3604,8654,22/06/2007,Universal Pictures
519,The Sum of All Fears,31178526,118907036,87728510,26.20,3183,9795,31/05/2002,Paramount Pictures
520,Home Alone 2: Lost in New York,31126882,173585516,142458634,17.90,2222,14008,20/11/1992,Twentieth Century Fox
521,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,31117834,65281781,34163947,47.70,683,45560,01/02/2008,Walt Disney Studios Motion Pictures
522,Bringing Down the House,31101026,132716677,101615651,23.40,2801,11103,07/03/2003,Walt Disney Studios Motion Pictures
523,Four Christmases,31069826,120146040,89076214,25.90,3310,9386,26/11/2008,Warner Bros.
524,Into the Woods,31051923,128002372,96950449,24.30,2440,12726,25/12/2014,Walt Disney Studios Motion Pictures
525,Pokémon: The First Movie - Mewtwo Strikes Back,31036678,85744662,54707984,36.20,3043,10199,10/11/1999,Warner Bros.
526,Downton Abbey,31033665,96854135,65820470,32,3079,10079,20/09/2019,Focus Features
527,Sex and the City 2,31001870,95347692,64345822,32.50,3445,8999,27/05/2010,Warner Bros.
528,Step Brothers,30940732,100468793,69528061,30.80,3094,10000,25/07/2008,Sony Pictures Releasing
529,Little Fockers,30833665,148438600,117604935,20.80,3536,8719,22/12/2010,Universal Pictures
530,Star Trek: First Contact,30716131,92027888,61311757,33.40,2812,10923,22/11/1996,Paramount Pictures
531,Knocked Up,30690990,148768917,118077927,20.60,2871,10690,01/06/2007,Universal Pictures
532,The Dukes of Hazzard,30675314,80270227,49594913,38.20,3785,8104,05/08/2005,Warner Bros.
533,Unbroken,30621445,115637895,85016450,26.50,3131,9780,25/12/2014,Universal Pictures
534,Brüno,30619130,60054530,29435400,51,2756,11109,10/07/2009,Universal Pictures
535,Saving Private Ryan,30576104,216540909,185964805,14.10,2463,12414,24/07/1998,DreamWorks Distribution
536,The Pacifier,30552694,113086868,82534174,27,3131,9758,04/03/2005,Walt Disney Studios Motion Pictures
537,Bram Stoker's Dracula,30521679,82522790,52001111,37,2491,12252,13/11/1992,Columbia Pictures
538,The Happening,30517109,64506874,33989765,47.30,2986,10220,13/06/2008,Twentieth Century Fox
539,Just Go with It,30514732,103028109,72513377,29.60,3548,8600,11/02/2011,Sony Pictures Releasing
540,The Day the Earth Stood Still,30480153,79366978,48886825,38.40,3560,8561,12/12/2008,Twentieth Century Fox
541,Dear John,30468614,80014842,49546228,38.10,2969,10262,05/02/2010,Screen Gems
542,John Wick: Chapter 2,30436123,92029184,61593061,33.10,3113,9777,10/02/2017,Lionsgate
543,Night at the Museum,30433781,250863268,220429487,12.10,3685,8258,22/12/2006,Twentieth Century Fox
544,Olympus Has Fallen,30373794,98925640,68551846,30.70,3098,9804,22/03/2013,FilmDistrict
545,Unbreakable,30330771,95011339,64680568,31.90,2708,11200,22/11/2000,Walt Disney Studios Motion Pictures
546,Maze Runner: The Scorch Trials,30316510,81697192,51380682,37.10,3791,7996,18/09/2015,Twentieth Century Fox
547,Cloudy with a Chance of Meatballs,30304648,124870275,94565627,24.30,3119,9716,18/09/2009,Sony Pictures Releasing
548,The Addams Family,30300007,100044905,69744898,30.30,4007,7561,11/10/2019,United Artists Releasing
549,America's Sweethearts,30181877,93607673,63425796,32.20,3011,10023,20/07/2001,Revolution Studios
550,John Carter,30180188,73078100,42897912,41.30,3749,8050,09/03/2012,Walt Disney Studios Motion Pictures
551,The Lion King2011 3D Release,30151614,94242001,64090387,32,2330,12940,16/09/2011,Walt Disney Studios Motion Pictures
552,The X Files,30138758,83898313,53759555,35.90,2629,11463,19/06/1998,Twentieth Century Fox
553,Django Unchained,30122888,162805434,132682546,18.50,3010,10007,25/12/2012,The Weinstein Company
554,The Best Man Holiday,30107555,70525195,40417640,42.70,2024,14875,15/11/2013,Universal Pictures
555,Trainwreck,30097040,110212700,80115660,27.30,3158,9530,17/07/2015,Universal Pictures
556,Prince of Persia: The Sands of Time,30095259,90759676,60664417,33.20,3646,8254,28/05/2010,Walt Disney Studios Motion Pictures
557,Dodgeball: A True Underdog Story,30070196,114326736,84256540,26.30,2694,11161,18/06/2004,Twentieth Century Fox
558,Lemony Snicket's A Series of Unfortunate Events,30061756,118634549,88572793,25.30,3620,8304,17/12/2004,Paramount Pictures
559,Sleepy Hollow,30060467,101071502,71011035,29.70,3064,9810,19/11/1999,Paramount Pictures
560,Panic Room,30056751,96397334,66340583,31.20,3053,9844,29/03/2002,Sony Pictures Releasing
561,The Exorcism of Emily Rose,30054300,75072454,45018154,40,2981,10081,09/09/2005,Screen Gems
562,Saw V,30053954,56746769,26692815,53,3060,9821,24/10/2008,Lionsgate
563,Catch Me If You Can,30053627,164615351,134561724,18.30,3156,9522,25/12/2002,DreamWorks Distribution
564,A Christmas Carol,30051075,137855863,107804788,21.80,3683,8159,06/11/2009,Walt Disney Studios Motion Pictures
565,Men in Black: International,30035838,80001807,49965969,37.50,4224,7110,14/06/2019,Sony Pictures Releasing
566,Madea's Family Reunion,30030661,63257940,33227279,47.50,2194,13687,24/02/2006,Lionsgate
567,The Purge: Anarchy,29816675,71962800,42146125,41.40,2805,10629,18/07/2014,Universal Pictures
568,Elysium,29807393,93050117,63242724,32,3284,9076,09/08/2013,TriStar Pictures
569,Hercules,29800263,72688614,42888351,41,3595,8289,25/07/2014,Paramount Pictures
570,Constantine,29769098,75976178,46207080,39.20,3006,9903,18/02/2005,Warner Bros.
571,What Lies Beneath,29702959,155464351,125761392,19.10,2813,10559,21/07/2000,DreamWorks Distribution
572,The Flintstones,29688730,130531208,100842478,22.70,2498,11885,27/05/1994,Universal Pictures
573,Dark Shadows,29685274,79727149,50041875,37.20,3755,7905,11/05/2012,Warner Bros.
574,Daddy's Home 2,29651193,104029443,74378250,28.50,3575,8294,10/11/2017,Paramount Pictures
575,Creed,29632823,109767581,80134758,27,3404,8705,25/11/2015,Warner Bros.
576,Insidious: The Last Key,29581355,67745330,38163975,43.70,3116,9493,05/01/2018,Universal Pictures
577,Justin Bieber: Never Say Never,29514054,73013910,43499856,40.40,3105,9505,11/02/2011,Paramount Pictures
578,Ghostbusters II,29472894,112494738,83021844,26.20,2410,12229,16/06/1989,Columbia Pictures
579,Scooby-Doo 2: Monsters Unleashed,29438331,84216833,54778502,35,3312,8888,26/03/2004,Warner Bros.
580,Indiana Jones and the Last Crusade,29355021,197171806,167816785,14.90,2327,12614,24/05/1989,Paramount Pictures
581,A.I. Artificial Intelligence,29352630,78616689,49264059,37.30,3242,9053,29/06/2001,Warner Bros.
582,Now You See Me,29350389,117723989,88373600,24.90,2925,10034,31/05/2013,Lionsgate
583,Beverly Hills Chihuahua,29300465,94514402,65213937,31,3215,9113,03/10/2008,Walt Disney Studios Motion Pictures
584,Why Did I Get Married Too?,29289537,60095852,30806315,48.70,2155,13591,02/04/2010,Lionsgate
585,Think Like a Man Too,29241911,65182182,35940271,44.90,2225,13142,20/06/2014,Screen Gems
586,The Muppets,29239026,88631237,59392211,33,3440,8499,23/11/2011,Walt Disney Studios Motion Pictures
587,The Lone Ranger,29210849,89302115,60091266,32.70,3904,7482,03/07/2013,Walt Disney Studios Motion Pictures
588,Eagle Eye,29150721,101440743,72290022,28.70,3510,8305,26/09/2008,DreamWorks
589,Toy Story,29140617,191796233,162655616,15.20,2457,11860,22/11/1995,Walt Disney Studios Motion Pictures
590,The Texas Chainsaw Massacre,29100000,80571655,51471655,36.10,3016,9648,17/10/2003,New Line Cinema
591,Spy,29085719,110825712,81739993,26.20,3711,7837,05/06/2015,Twentieth Century Fox
592,Terminator: Dark Fate,29033832,62253077,33219245,46.60,4086,7105,01/11/2019,Paramount Pictures
593,Allegiant,29027348,66184051,37156703,43.90,3740,7761,18/03/2016,Lionsgate
594,Doctor Dolittle,29014324,144156605,115142281,20.10,2777,10448,26/06/1998,Twentieth Century Fox
595,The Santa Clause 2,29008696,139236327,110227631,20.80,3350,8659,01/11/2002,Walt Disney Studios Motion Pictures
596,Paranormal Activity 4,29003866,53885000,24881134,53.80,3412,8500,19/10/2012,Paramount Pictures
597,Jackass Number Two,29002002,72778712,43776710,39.80,3059,9480,22/09/2006,Paramount Pictures
598,Inside Man,28954945,88513495,59558550,32.70,2818,10274,24/03/2006,Universal Pictures
599,Cast Away,28883406,233632142,204748736,12.40,2774,10412,22/12/2000,Twentieth Century Fox
600,Non-Stop,28875635,92168600,63292965,31.30,3090,9344,28/02/2014,Universal Pictures
601,Miss Peregrine's Home for Peculiar Children,28871140,87242834,58371694,33.10,3522,8197,30/09/2016,Twentieth Century Fox
602,Edge of Tomorrow,28760246,100206256,71446010,28.70,3490,8240,06/06/2014,Warner Bros.
603,Murder on the Orient Express,28681472,102826543,74145071,27.90,3341,8584,10/11/2017,Twentieth Century Fox
604,Titanic,28638131,600788188,572150057,4.80,2674,10709,19/12/1997,Paramount Pictures
605,Meet the Parents,28623300,166244045,137620745,17.20,2614,10950,06/10/2000,Universal Pictures
606,Obsessed,28612730,68261644,39648914,41.90,2514,11381,24/04/2009,Screen Gems
607,The Expendables 2,28591370,85028192,56436822,33.60,3316,8622,17/08/2012,Lionsgate
608,Alita: Battle Angel,28525613,85710210,57184597,33.30,3790,7526,14/02/2019,Twentieth Century Fox
609,Tyler Perry's Boo! A Madea Halloween,28501448,73206343,44704895,38.90,2260,12611,21/10/2016,Lionsgate
610,Anchorman: The Legend of Ron Burgundy,28416365,85288303,56871938,33.30,3091,9193,09/07/2004,DreamWorks Distribution
611,Mama,28402310,71628180,43225870,39.60,2647,10730,18/01/2013,Universal Pictures
612,Nacho Libre,28309599,80197993,51888394,35.30,3070,9221,16/06/2006,Paramount Pictures
613,Horrible Bosses,28302165,117538559,89236394,24.10,3040,9309,08/07/2011,Warner Bros.
614,The Invisible Man,28205665,54026015,25820350,52.20,3610,7813,28/02/2020,Universal Pictures
615,Erin Brockovich,28138465,125595205,97456740,22.40,2848,9880,17/03/2000,Universal Pictures
616,Pacific Rim: Uprising,28116535,59874525,31757990,47,3708,7582,23/03/2018,Universal Pictures
617,Starsky & Hutch,28103367,88237754,60134387,31.80,3185,8823,05/03/2004,Warner Bros.
618,Sin City,28100000,74103820,46003820,37.90,3230,8699,01/04/2005,Dimension Films
619,Back to the Future Part II,27835125,118450002,90614877,23.50,1865,14925,22/11/1989,Universal Pictures
620,Hairspray,27800000,118871849,91071849,23.40,3121,8907,20/07/2007,New Line Cinema
621,The Matrix,27788331,171479930,143691599,16.20,2849,9753,31/03/1999,Warner Bros.
622,He's Just Not That Into You,27785487,93953653,66168166,29.60,3175,8751,06/02/2009,Warner Bros.
623,Mamma Mia!,27751240,144130063,116378823,19.20,2976,9325,18/07/2008,Universal Pictures
624,Big Momma's House 2,27736056,70165972,42429916,39.50,3261,8505,27/01/2006,Twentieth Century Fox
625,Jarhead,27726210,62658220,34932010,44.20,2411,11499,04/11/2005,Universal Pictures
626,Along Came Polly,27721185,88097164,60375979,31.50,2984,9289,16/01/2004,Universal Pictures
627,Wild Wild West,27687484,113804681,86117197,24.30,3342,8284,30/06/1999,Warner Bros.
628,Daddy Day Care,27623580,104297061,76673481,26.50,3370,8196,09/05/2003,Revolution Studios
629,The Ugly Truth,27605576,88915214,61309638,31,2882,9578,24/07/2009,Sony Pictures Releasing
630,Cheaper by the Dozen,27557647,138614544,111056897,19.90,3298,8355,25/12/2003,Twentieth Century Fox
631,Wonder,27547866,132422809,104874943,20.80,3096,8897,17/11/2017,Lionsgate
632,The Devil Wears Prada,27537244,124740460,97203216,22.10,2847,9672,30/06/2006,Twentieth Century Fox
633,Space Jam,27528529,90418342,62889813,30.40,2650,10388,15/11/1996,Warner Bros.
634,After Earth,27520040,60522097,33002057,45.50,3401,8091,31/05/2013,Sony Pictures Releasing
635,Beowulf,27515871,82280579,54764708,33.40,3153,8726,16/11/2007,Paramount Pictures
636,42,27487144,95020213,67533069,28.90,3003,9153,12/04/2013,Warner Bros.
637,Bedtime Stories,27450296,110101975,82651679,24.90,3681,7457,25/12/2008,Walt Disney Studios Motion Pictures
638,The Final Destination,27408309,66477700,39069391,41.20,3121,8781,28/08/2009,Warner Bros.
639,Jumper,27354808,80172128,52817320,34.10,3428,7979,14/02/2008,Twentieth Century Fox
640,Journey 2: The Mysterious Island,27335363,103860290,76524927,26.30,3470,7877,10/02/2012,Warner Bros.
641,The Rugrats Movie,27321470,100494675,73173205,27.20,2782,9820,20/11/1998,Paramount Pictures
642,Real Steel,27319677,85468508,58148831,32,3440,7941,07/10/2011,Walt Disney Studios Motion Pictures
643,Les Misérables,27281735,148809770,121528035,18.30,2814,9695,25/12/2012,Universal Pictures
644,Night School,27257615,77339130,50081515,35.20,3010,9055,28/09/2018,Universal Pictures
645,Jack the Giant Slayer,27202226,65187603,37985377,41.70,3525,7716,01/03/2013,Warner Bros.
646,The Bourne Identity,27118640,121661683,94543043,22.30,2638,10280,14/06/2002,Universal Pictures
647,A Madea Family Funeral,27062332,73257045,46194713,36.90,2442,11082,01/03/2019,Lionsgate
648,2 Guns,27059130,75612460,48553330,35.80,3025,8945,02/08/2013,Universal Pictures
649,Terminator Genisys,27018486,89760956,62742470,30.10,3758,7189,01/07/2015,Paramount Pictures
650,Ender's Game,27017351,61737191,34719840,43.80,3407,7929,01/11/2013,Lionsgate
651,The Departed,26887467,132384315,105496848,20.30,3017,8911,06/10/2006,Warner Bros.
652,Alice Through the Looking Glass,26858726,77041381,50182655,34.90,3763,7137,27/05/2016,Walt Disney Studios Motion Pictures
653,Underworld: Evolution,26857181,62318875,35461694,43.10,3207,8374,20/01/2006,Screen Gems
654,The Curious Case of Benjamin Button,26853816,127509326,100655510,21.10,2988,8987,25/12/2008,Paramount Pictures
655,Zombieland: Double Tap,26803104,73123082,46319978,36.60,3468,7728,18/10/2019,Sony Pictures Releasing
656,Knives Out,26769548,165179842,138410294,16.20,3461,7734,27/11/2019,Lionsgate
657,Flubber,26725207,92977226,66252019,28.70,2641,10119,26/11/1997,Walt Disney Studios Motion Pictures
658,Dawn of the Dead,26722575,59020957,32298382,45.30,2745,9735,19/03/2004,Universal Pictures
659,The Sixth Sense,26681262,293506292,266825030,9.10,2161,12346,06/08/1999,Walt Disney Studios Motion Pictures
660,Resident Evil: Afterlife,26650264,60128566,33478302,44.30,3203,8320,10/09/2010,Screen Gems
661,The House with a Clock in Its Walls,26608020,68549695,41941675,38.80,3592,7407,21/09/2018,Universal Pictures
662,The Campaign,26588460,86907746,60319286,30.60,3205,8295,10/08/2012,Warner Bros.
663,Spy Kids,26546881,112719001,86172120,23.60,3104,8552,30/03/2001,Miramax
664,The Pursuit of Happyness,26541709,163566459,137024750,16.20,2852,9306,15/12/2006,Sony Pictures Releasing
665,Crazy Rich Asians,26510140,174532921,148022781,15.20,3384,7833,15/08/2018,Warner Bros.
666,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,26455463,128505958,102050495,20.60,837,31607,03/11/2006,Twentieth Century Fox
667,All Eyez on Me,26435354,44922302,18486948,58.80,2471,10698,16/06/2017,Lionsgate
668,We're the Millers,26419396,150394119,123974723,17.60,3260,8104,07/08/2013,Warner Bros.
669,Hollow Man,26414386,73209340,46794954,36.10,2956,8935,04/08/2000,Sony Pictures Releasing
670,Don't Breathe,26411706,89217875,62806169,29.60,3051,8656,26/08/2016,Screen Gems
671,Halloween,26362367,58272029,31909662,45.20,3472,7592,31/08/2007,-
672,Beverly Hills Cop II,26348555,153665036,127316481,17.20,2326,11327,20/05/1987,Paramount Pictures
673,The Curse of la Llorona,26347631,54733739,28386108,48.10,3372,7813,19/04/2019,Warner Bros.
674,Bridesmaids,26247410,169106725,142859315,15.50,2918,8995,13/05/2011,Universal Pictures
675,Anchorman 2: The Legend Continues,26232425,125168368,98935943,21,3507,7480,18/12/2013,Paramount Pictures
676,Bolt,26223128,114053579,87830451,23,3651,7182,21/11/2008,Walt Disney Studios Motion Pictures
677,GoldenEye,26205007,106429941,80224934,24.60,2667,9825,17/11/1995,Metro-Goldwyn-Mayer (MGM)
678,The Golden Compass,26125000,70107728,43982728,37.30,3528,7405,07/12/2007,New Line Cinema
679,The Help,26044590,169708112,143663522,15.40,2534,10278,10/08/2011,Walt Disney Studios Motion Pictures
680,Happy Death Day,26039025,55683845,29644820,46.80,3149,8268,13/10/2017,Universal Pictures
681,The Perfect Guy,25888154,57027435,31139281,45.40,2221,11656,11/09/2015,Screen Gems
682,True Lies,25869770,146282411,120412641,17.70,2368,10924,15/07/1994,Twentieth Century Fox
683,Tropic Thunder,25812796,110515313,84702517,23.40,3319,7777,13/08/2008,DreamWorks
684,Evil Dead,25775847,54239856,28464009,47.50,3025,8520,05/04/2013,TriStar Pictures
685,Rocketman,25725722,96368160,70642438,26.70,3610,7126,31/05/2019,Paramount Pictures
686,Miami Vice,25723815,63450470,37726655,40.50,3021,8515,28/07/2006,Universal Pictures
687,Captain Phillips,25718314,107100855,81382541,24,3020,8515,11/10/2013,Sony Pictures Releasing
688,Fantastic Four,25685737,56117548,30431811,45.80,3995,6429,07/08/2015,Twentieth Century Fox
689,The A-Team,25669455,77222099,51552644,33.20,3535,7261,11/06/2010,Twentieth Century Fox
690,Big Momma's House,25661041,117559438,91898397,21.80,2802,9158,02/06/2000,Twentieth Century Fox
691,About Last Night,25649011,48637684,22988673,52.70,2253,11384,14/02/2014,Screen Gems
692,V for Vendetta,25642340,70511035,44868695,36.40,3365,7620,17/03/2006,Warner Bros.
693,Robin Hood: Prince of Thieves,25625602,165493908,139868306,15.50,2369,10817,14/06/1991,Warner Bros.
694,Son of God,25601865,59700064,34098199,42.90,3260,7853,28/02/2014,Twentieth Century Fox
695,Kill Bill: Vol. 2,25600000,66208183,40608183,38.70,2971,8616,16/04/2004,Miramax
696,Total Recall,25577758,58877969,33300211,43.40,3601,7102,03/08/2012,Sony Pictures Releasing
697,Battleship,25534825,65422625,39887800,39,3690,6920,18/05/2012,Universal Pictures
698,Total Recall,25533700,119394840,93861140,21.40,2060,12395,01/06/1990,Sony Pictures Releasing
699,Penguins of Madagascar,25447444,83850911,58403467,30.40,3764,6760,26/11/2014,Twentieth Century Fox
700,The Visit,25427560,65206105,39778545,39,3069,8285,11/09/2015,Universal Pictures
701,The Nutty Professor,25411725,128814019,103402294,19.70,2115,12015,28/06/1996,Universal Pictures
702,The Firm,25400000,158348367,132948367,16,2393,10614,02/07/1993,Paramount Pictures
703,Teenage Mutant Ninja Turtles,25398367,135265915,109867548,18.80,2006,12661,30/03/1990,New Line Cinema
704,Madea's Witness Protection,25390575,65653242,40262667,38.70,2161,11749,29/06/2012,Lionsgate
705,Gnomeo & Juliet,25356909,99967670,74610761,25.40,2994,8469,11/02/2011,Walt Disney Studios Motion Pictures
706,Apollo 13,25353380,172071312,146717932,14.70,2197,11540,30/06/1995,Universal Pictures
707,Indiana Jones and the Temple of Doom,25337110,179870271,154533161,14.10,1687,15019,23/05/1984,Paramount Pictures
708,Gone in 60 Seconds,25336048,101648571,76312523,24.90,3006,8428,09/06/2000,Walt Disney Studios Motion Pictures
709,Underworld Awakening,25306725,62321039,37014314,40.60,3078,8221,20/01/2012,Screen Gems
710,Public Enemies,25271675,97104620,71832945,26,3334,7579,01/07/2009,Universal Pictures
711,Patch Adams,25262280,135026902,109764622,18.70,2712,9315,25/12/1998,Universal Pictures
712,Date Night,25207599,98711404,73503805,25.50,3374,7471,09/04/2010,Twentieth Century Fox
713,Tomorrow Never Dies,25143007,125304276,100161269,20.10,2807,8957,19/12/1997,Metro-Goldwyn-Mayer (MGM)
714,Meet the Robinsons,25123781,97822171,72698390,25.70,3413,7361,30/03/2007,Walt Disney Studios Motion Pictures
715,Master and Commander: The Far Side of the World,25105990,93927920,68821930,26.70,3101,8096,14/11/2003,Twentieth Century Fox
716,The Rock,25069525,134069511,108999986,18.70,2392,10480,07/06/1996,Walt Disney Studios Motion Pictures
717,Madea's Big Happy Family,25068677,53345287,28276610,47,2288,10956,22/04/2011,Lionsgate
718,Dr. Dolittle 2,25037039,112952899,87915860,22.20,3049,8211,22/06/2001,Twentieth Century Fox
719,Vanilla Sky,25015518,100618344,75602826,24.90,2742,9123,14/12/2001,Paramount Pictures
720,Peter Rabbit,25010928,115253424,90242496,21.70,3725,6714,09/02/2018,Sony Pictures Releasing
721,Jack and Jill,25003575,74158157,49154582,33.70,3438,7272,11/11/2011,Sony Pictures Releasing
722,Skyscraper,24905015,68420120,43515105,36.40,3782,6585,13/07/2018,Universal Pictures
723,Flight,24900566,93772375,68871809,26.60,1884,13216,02/11/2012,Paramount Pictures
724,White House Down,24852258,73103784,48251526,34,3222,7713,28/06/2013,Sony Pictures Releasing
725,A Good Day to Die Hard,24834845,67349198,42514353,36.90,3553,6989,14/02/2013,Twentieth Century Fox
726,True Grit,24830443,171243005,146412562,14.50,3047,8149,22/12/2010,Paramount Pictures
727,The Call of the Wild,24791624,57806808,33015184,42.90,3752,6607,21/02/2020,Twentieth Century Fox
728,The Other Woman,24763752,83911193,59147441,29.50,3205,7726,25/04/2014,Twentieth Century Fox
729,Predators,24760882,52000688,27239806,47.60,2669,9277,09/07/2010,Twentieth Century Fox
730,Zombieland,24733155,75590286,50857131,32.70,3036,8146,02/10/2009,Sony Pictures Releasing
731,10 Cloverfield Lane,24727437,72082998,47355561,34.30,3391,7292,11/03/2016,Paramount Pictures
732,Taken,24717037,145000989,120283952,17,3183,7765,30/01/2009,Twentieth Century Fox
733,The Accountant,24710273,86260045,61549772,28.60,3332,7416,14/10/2016,Warner Bros.
734,Collateral,24701458,101005703,76304245,24.50,3188,7748,06/08/2004,DreamWorks Distribution
735,Congo,24642539,81022101,56379562,30.40,2649,9302,09/06/1995,Paramount Pictures
736,Lee Daniels' The Butler,24637312,116632095,91994783,21.10,2933,8400,16/08/2013,The Weinstein Company
737,The Predator,24632284,51024708,26392424,48.30,4037,6101,14/09/2018,Twentieth Century Fox
738,Flightplan,24629938,89707299,65077361,27.50,3424,7193,23/09/2005,Walt Disney Studios Motion Pictures
739,Knowing,24604751,79957634,55352883,30.80,3332,7384,20/03/2009,Summit Entertainment
740,Christopher Robin,24585139,99215042,74629903,24.80,3602,6825,03/08/2018,Walt Disney Studios Motion Pictures
741,Eraser,24566446,101295562,76729116,24.20,2410,10193,21/06/1996,Warner Bros.
742,The Girl on the Train,24536265,75395035,50858770,32.50,3144,7804,07/10/2016,Universal Pictures
